Name,Year,Team,Age,Pos.,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
강민호,2022,삼성,37,C,130,444,441,396,38,102,19,1,13,162,66,0,0,41,3,4,58,21,1,3,0.258,0.330,0.409,0.739,-0.013,92.3,0.51
강민호,2023,삼성,38,C,125,495,492,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.290,0.366,0.445,0.811,0.013,115.4,2.61
강민호,2024,삼성,39,C,42,137,136,122,14,32,2,0,2,40,13,0,0,12,2,1,14,8,0,1,0.262,0.336,0.328,0.664,-0.028,76.1,0.23
