Name,Year,Team,Age,Pos.,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
김강민,2022,SSG,40,CF,84,202,198,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1,0.303,0.375,0.449,0.824,0.049,144.3,2.18
김강민,2023,SSG,41,CF,70,166,163,137,20,31,3,0,2,40,7,2,1,23,1,1,38,2,2,3,0.226,0.335,0.292,0.627,-0.022,85.8,0.41
김강민,2024,한화,42,CF,14,28,28,26,0,4,0,0,0,4,0,0,0,2,0,0,7,1,0,0,0.154,0.214,0.154,0.368,-0.149,-16.6,-0.53
