Name,Year,Team,Age,Pos.,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144
김재호,2022,두산,37,3B,7,4,34.0,,3.44,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.79,,0.03,1.55,2.19
김재호,2022,두산,37,SS,98,61,580.0,0.0,4.58,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.3,,0.48,0.75,1.05
김재호,2023,두산,38,3B,1,0,2.0,0.0,4.5,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.3,,-0.49,-0.79,-1.25
김재호,2023,두산,38,SS,86,71,611.1,0.0,4.2,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,7.18,,-0.45,6.87,10.87
김재호,2024,두산,39,SS,7,5,41.0,0.0,3.29,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-2.2,,0.16,-1.36,-28.03
허경민,2022,두산,32,2B,1,0,2.0,,9.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.23,,0.0,0.23,0.27
허경민,2022,두산,32,3B,120,117,976.1,0.0,2.48,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-14.19,,0.36,-13.74,-16.35
허경민,2023,두산,33,3B,126,116,997.2,0.0,2.21,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.55,,2.28,7.62,8.44
허경민,2024,두산,34,3B,43,42,339.1,0.0,2.44,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4.09,,0.26,4.34,14.22
서건창,2022,LG,33,2B,63,54,474.0,0.0,4.8,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-6.43,,0.07,-6.29,-11.77
