Name,Year,Team,Age,Pos.,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
강백호,2022,KT,23,1B,62,264,261,237,24,58,12,0,6,88,29,0,0,23,1,2,44,6,1,2,0.245,0.312,0.371,0.683,-0.033,75.4,-0.12
강백호,2023,KT,24,RF,71,271,269,238,32,63,10,1,8,99,39,3,0,31,0,4,55,1,0,2,0.265,0.347,0.416,0.763,0.003,106.9,0.98
강백호,2024,KT,25,RF,43,201,201,187,35,65,11,0,13,115,44,1,2,11,1,1,38,1,0,2,0.348,0.383,0.615,0.998,0.086,162.9,2.05
