Name,Year,Team,Age,Pos.,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
김현수,2022,LG,34,LF,141,604,598,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.046,142.0,4.81
김현수,2023,LG,35,DH,133,556,555,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.014,115.6,2.19
김현수,2024,LG,36,DH,43,187,187,170,17,54,9,1,4,77,26,2,1,15,0,1,22,3,0,2,0.318,0.369,0.453,0.822,0.020,112.3,0.60
